ห้องที่,ชุดที่,ลำดับที่,จังหวัด,เขต,ชื่อ - นามสกุล,บัตรประชาชน
1,5,101,จังหวัดกระบี่,5,นายไก่กา อาราเล่,1232122211232
2,10,191,จังหวัดกาญจนบุรี,10,นางสาววันดี ชิลชิล,1234567893215
1,7,911,จังหวัดกาฬสินธุ์,7,นางสวีดัส สวัสดี,1111111111111
2,14,7,จังหวัดกำแพงเพชร,14,นายอารมย์ บ่อจอย,3213213213213
1,14,941,จังหวัดขอนแก่น,10,abc123456,1111111111112
2,12,425,จังหวัดจันทบุรี,6,abc123457,1111111111113
1,3,976,จังหวัดฉะเชิงเทรา,1,abc123458,1111111111114
2,11,344,จังหวัดชลบุรี,4,abc123459,1111111111115
1,10,30,จังหวัดชัยนาท,9,abc123460,1111111111116
2,7,791,จังหวัดชัยภูมิ,13,abc123461,1111111111117
1,5,780,จังหวัดชุมพร,8,abc123462,1111111111118
1,3,386,จังหวัดเชียงราย,4,abc123463,1111111111119
1,8,303,จังหวัดเชียงใหม่,8,abc123464,1111111111120
1,4,483,จังหวัดตรัง,7,abc123465,1111111111121
1,2,804,จังหวัดตราด,12,abc123466,1111111111122
2,3,331,จังหวัดตาก,5,abc123467,1111111111123
2,12,734,จังหวัดนครนายก,5,abc123468,1111111111124
2,9,594,จังหวัดนครปฐม,5,abc123469,1111111111125
2,11,203,จังหวัดนครพนม,11,abc123470,1111111111126
2,10,148,จังหวัดนครราชสีมา,1,abc123471,1111111111127
1,1,262,จังหวัดนครศรีธรรมราช,5,abc123472,1111111111128
1,7,98,จังหวัดนครสวรรค์,3,abc123473,1111111111129
2,4,652,จังหวัดนนทบุรี,5,abc123474,1111111111130
1,5,196,จังหวัดนราธิวาส,3,abc123475,1111111111131
2,8,281,จังหวัดน่าน,14,abc123476,1111111111132
1,9,707,จังหวัดบึงกาฬ,13,abc123477,1111111111133
1,10,782,จังหวัดบุรีรัมย์,14,abc123478,1111111111134
1,14,168,จังหวัดปทุมธานี,2,abc123479,1111111111135
1,1,405,จังหวัดประจวบคีรีขันธ์,10,abc123480,1111111111136
1,14,256,จังหวัดปราจีนบุรี,6,abc123481,1111111111137
2,1,715,จังหวัดปัตตานี,11,abc123482,1111111111138
1,6,839,จังหวัดพระนครศรีอยุธยา,11,abc123483,1111111111139
1,6,545,จังหวัดพะเยา,3,abc123484,1111111111140
1,2,601,จังหวัดพังงา,4,abc123485,1111111111141
2,5,684,จังหวัดพัทลุง,7,abc123486,1111111111142
1,1,933,จังหวัดพิจิตร,1,abc123487,1111111111143
1,3,356,จังหวัดพิษณุโลก,1,abc123488,1111111111144
2,7,883,จังหวัดเพชรบุรี,10,abc123489,1111111111145
1,1,634,จังหวัดเพชรบูรณ์,1,abc123490,1111111111146
1,6,320,จังหวัดแพร่,6,abc123491,1111111111147
1,6,258,จังหวัดภูเก็ต,10,abc123492,1111111111148
1,6,215,จังหวัดมหาสารคาม,3,abc123493,1111111111149
2,1,382,จังหวัดมุกดาหาร,1,abc123494,1111111111150
2,1,576,จังหวัดแม่ฮ่องสอน,6,abc123495,1111111111151
1,14,593,จังหวัดยโสธร,5,abc123496,1111111111152
1,1,522,จังหวัดยะลา,14,abc123497,1111111111153
1,13,138,จังหวัดร้อยเอ็ด,7,abc123498,1111111111154
1,9,667,จังหวัดระนอง,2,abc123499,1111111111155
2,5,920,จังหวัดระยอง,5,abc123500,1111111111156
2,14,309,จังหวัดราชบุรี,12,abc123501,1111111111157
2,8,173,จังหวัดลพบุรี,3,abc123502,1111111111158
1,9,137,จังหวัดลำปาง,10,abc123503,1111111111159
2,9,138,จังหวัดลำพูน,7,abc123504,1111111111160
1,1,571,จังหวัดเลย,3,abc123505,1111111111161
1,4,964,จังหวัดศรีสะเกษ,11,abc123506,1111111111162
2,8,735,จังหวัดสกลนคร,8,abc123507,1111111111163
2,14,866,จังหวัดสงขลา,11,abc123508,1111111111164
1,10,952,จังหวัดสตูล,2,abc123509,1111111111165
2,4,436,จังหวัดสมุทรปราการ,5,abc123510,1111111111166
2,5,835,จังหวัดสมุทรสงคราม,2,abc123511,1111111111167
1,7,507,จังหวัดสมุทรสาคร,7,abc123512,1111111111168
